********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend,C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
noczbwq,P,01/01/2022 05:00,1,1,,17.9,<0> ,44.56,<0> ,28.9,<0> ,92.1,<0> ,7.4,<0> ,1.25,<0> ,1.23,<3> [GCC],7.7,<0> ,20,<0> ,
noczbwq,P,01/01/2022 05:15,1,1,,17.5,<0> ,44.71,<0> ,29.0,<0> ,94.2,<0> ,7.6,<0> ,1.34,<0> ,1.33,<3> [GCC],7.8,<0> ,12,<0> ,
noczbwq,P,01/01/2022 05:30,1,1,,17.7,<0> ,44.73,<0> ,29.0,<0> ,93.4,<0> ,7.5,<0> ,1.42,<0> ,1.41,<3> [GCC],7.8,<0> ,11,<0> ,
noczbwq,P,01/01/2022 05:45,1,1,,17.4,<0> ,44.89,<0> ,29.1,<0> ,93.7,<0> ,7.5,<0> ,1.49,<0> ,1.48,<3> [GCC],7.8,<0> ,8,<0> ,
noczbwq,P,01/01/2022 06:00,1,1,,17.4,<0> ,44.83,<0> ,29.1,<0> ,93.0,<0> ,7.5,<0> ,1.55,<0> ,1.53,<3> [GCC],7.8,<0> ,8,<0> ,
noczbwq,P,01/01/2022 06:15,1,1,,17.5,<0> ,44.83,<0> ,29.1,<0> ,91.8,<0> ,7.4,<0> ,1.60,<0> ,1.58,<3> [GCC],7.8,<0> ,14,<0> ,
noczbwq,P,01/01/2022 06:30,1,1,,17.5,<0> ,44.97,<0> ,29.2,<0> ,93.2,<0> ,7.5,<0> ,1.64,<0> ,1.62,<3> [GCC],7.8,<0> ,9,<0> ,
noczbwq,P,01/01/2022 06:45,1,1,,17.6,<0> ,45.03,<0> ,29.2,<0> ,92.5,<0> ,7.4,<0> ,1.67,<0> ,1.65,<3> [GCC],7.8,<0> ,12,<0> ,
noczbwq,P,01/01/2022 07:00,1,1,,17.6,<0> ,45.02,<0> ,29.2,<0> ,91.0,<0> ,7.3,<0> ,1.68,<0> ,1.66,<3> [GCC],7.8,<0> ,18,<0> ,
noczbwq,P,01/01/2022 07:15,1,1,,17.5,<0> ,45.11,<0> ,29.2,<0> ,91.2,<0> ,7.3,<0> ,1.68,<0> ,1.66,<3> [GCC],7.8,<0> ,18,<0> ,
noczbwq,P,01/01/2022 07:30,1,1,,17.6,<0> ,45.09,<0> ,29.2,<0> ,91.8,<0> ,7.4,<0> ,1.65,<0> ,1.63,<3> [GCC],7.8,<0> ,15,<0> ,
noczbwq,P,01/01/2022 07:45,1,1,,17.6,<0> ,44.96,<0> ,29.1,<0> ,92.7,<0> ,7.4,<0> ,1.59,<0> ,1.57,<3> [GCC],7.8,<0> ,10,<0> ,
noczbwq,P,01/01/2022 08:00,1,1,,17.5,<0> ,44.95,<0> ,29.1,<0> ,92.7,<0> ,7.4,<0> ,1.52,<0> ,1.50,<3> [GCC],7.8,<0> ,11,<0> ,
noczbwq,P,01/01/2022 08:15,1,1,,17.5,<0> ,44.90,<0> ,29.1,<0> ,93.1,<0> ,7.5,<0> ,1.44,<0> ,1.41,<3> [GCC],7.8,<0> ,9,<0> ,
noczbwq,P,01/01/2022 08:30,1,1,,17.5,<0> ,44.84,<0> ,29.1,<0> ,90.9,<0> ,7.3,<0> ,1.35,<0> ,1.32,<3> [GCC],7.7,<0> ,10,<0> ,
noczbwq,P,01/01/2022 08:45,1,1,,17.6,<0> ,44.77,<0> ,29.0,<0> ,86.8,<0> ,7.0,<0> ,1.27,<0> ,1.24,<3> [GCC],7.7,<0> ,7,<0> ,
noczbwq,P,01/01/2022 09:00,1,1,,17.7,<0> ,44.70,<0> ,29.0,<0> ,84.0,<0> ,6.7,<0> ,1.20,<0> ,1.17,<3> [GCC],7.7,<0> ,8,<0> ,
noczbwq,P,01/01/2022 09:15,1,1,,17.9,<0> ,44.53,<0> ,28.8,<0> ,79.6,<0> ,6.4,<0> ,1.12,<0> ,1.09,<3> [GCC],7.6,<0> ,6,<0> ,
noczbwq,P,01/01/2022 09:30,1,1,,18.1,<0> ,44.37,<0> ,28.7,<0> ,76.4,<0> ,6.1,<0> ,1.06,<0> ,1.03,<3> [GCC],7.5,<0> ,11,<0> ,
noczbwq,P,01/01/2022 09:45,1,1,,18.2,<0> ,44.25,<0> ,28.6,<0> ,73.6,<0> ,5.9,<0> ,1.01,<0> ,0.98,<3> [GCC],7.4,<0> ,23,<0> ,
noczbwq,P,01/01/2022 10:00,1,1,,18.4,<0> ,44.10,<0> ,28.5,<0> ,72.5,<0> ,5.7,<0> ,0.95,<0> ,0.92,<3> [GCC],7.4,<0> ,28,<0> ,
noczbwq,P,01/01/2022 10:15,1,1,,18.5,<0> ,43.98,<0> ,28.4,<0> ,72.0,<0> ,5.7,<0> ,0.89,<0> ,0.86,<3> [GCC],7.4,<0> ,33,<0> ,
noczbwq,P,01/01/2022 10:30,1,1,,18.6,<0> ,43.89,<0> ,28.4,<0> ,71.0,<0> ,5.6,<0> ,0.84,<0> ,0.81,<3> [GCC],7.3,<0> ,42,<0> ,
noczbwq,P,01/01/2022 10:45,1,1,,18.7,<0> ,43.78,<0> ,28.3,<0> ,70.5,<0> ,5.6,<0> ,0.78,<0> ,0.75,<3> [GCC],7.3,<0> ,55,<0> ,
noczbwq,P,01/01/2022 11:00,1,1,,18.8,<0> ,43.61,<0> ,28.2,<0> ,69.2,<0> ,5.5,<0> ,0.73,<0> ,0.70,<3> [GCC],7.3,<0> ,82,<0> ,
noczbwq,P,01/01/2022 11:15,1,1,,19.0,<0> ,43.58,<0> ,28.2,<0> ,71.7,<0> ,5.6,<0> ,0.68,<0> ,0.65,<3> [GCC],7.3,<0> ,120,<0> ,
noczbwq,P,01/01/2022 11:30,1,1,,19.0,<0> ,43.41,<0> ,28.0,<0> ,70.1,<0> ,5.5,<0> ,0.63,<0> ,0.61,<3> [GCC],7.3,<0> ,403,<0> ,
noczbwq,P,01/01/2022 11:45,1,1,,19.2,<0> ,43.38,<0> ,28.0,<0> ,73.5,<0> ,5.8,<0> ,0.58,<0> ,0.56,<3> [GCC],7.3,<0> ,377,<0> ,
noczbwq,P,01/01/2022 12:00,1,1,,19.2,<0> ,43.23,<0> ,27.9,<0> ,73.3,<0> ,5.7,<0> ,0.54,<0> ,0.52,<3> [GCC],7.3,<0> ,584,<0> ,
noczbwq,P,01/01/2022 12:15,1,1,,19.3,<0> ,43.21,<0> ,27.9,<0> ,73.0,<0> ,5.7,<0> ,0.50,<0> ,0.48,<3> [GCC],7.3,<0> ,666,<0> ,
noczbwq,P,01/01/2022 12:30,1,1,,19.3,<0> ,43.22,<0> ,27.9,<0> ,73.9,<0> ,5.8,<0> ,0.46,<0> ,0.45,<3> [GCC],7.3,<0> ,287,<0> ,
noczbwq,P,01/01/2022 12:45,1,1,,19.4,<0> ,43.19,<0> ,27.9,<0> ,75.6,<0> ,5.9,<0> ,0.42,<0> ,0.41,<3> [GCC],7.3,<0> ,654,<0> ,
noczbwq,P,01/01/2022 13:00,1,1,,19.5,<0> ,43.03,<0> ,27.8,<0> ,75.1,<0> ,5.9,<0> ,0.38,<0> ,0.37,<3> [GCC],7.3,<0> ,440,<0> ,
noczbwq,P,01/01/2022 13:15,1,1,,19.6,<0> ,43.00,<0> ,27.7,<0> ,75.5,<0> ,5.9,<0> ,0.35,<0> ,0.34,<3> [GCC],7.3,<0> ,696,<0> ,
noczbwq,P,01/01/2022 13:30,1,1,,19.7,<0> ,43.40,<0> ,28.0,<0> ,76.9,<0> ,6.0,<0> ,0.32,<0> ,0.32,<3> [GCC],7.3,<0> ,168,<0> ,
noczbwq,P,01/01/2022 13:45,1,1,,19.8,<0> ,43.31,<0> ,28.0,<0> ,80.3,<0> ,6.2,<0> ,0.30,<0> ,0.30,<3> [GCC],7.3,<0> ,339,<0> ,
noczbwq,P,01/01/2022 14:00,1,1,,20.0,<0> ,43.50,<0> ,28.1,<0> ,76.6,<0> ,5.9,<0> ,0.27,<0> ,0.27,<3> [GCC],7.3,<0> ,293,<0> ,
noczbwq,P,01/01/2022 14:15,1,1,,20.2,<0> ,43.29,<0> ,27.9,<0> ,70.6,<0> ,5.4,<0> ,0.24,<0> ,0.24,<3> [GCC],7.3,<0> ,267,<0> ,
noczbwq,P,01/01/2022 14:30,1,1,,20.4,<0> ,43.20,<0> ,27.9,<0> ,72.4,<0> ,5.5,<0> ,0.22,<0> ,0.22,<3> [GCC],7.3,<0> ,689,<0> ,
noczbwq,P,01/01/2022 14:45,1,1,,20.7,<0> ,43.01,<0> ,27.7,<0> ,74.6,<0> ,5.7,<0> ,0.20,<0> ,0.20,<3> [GCC],7.3,<0> ,185,<0> ,
noczbwq,P,01/01/2022 15:00,1,1,,20.7,<0> ,42.95,<0> ,27.7,<0> ,75.2,<0> ,5.7,<0> ,0.18,<0> ,0.18,<3> [GCC],7.3,<0> ,821,<0> ,
noczbwq,P,01/01/2022 15:15,1,1,,20.4,<0> ,43.21,<0> ,27.9,<0> ,86.0,<0> ,6.6,<0> ,0.17,<0> ,0.17,<3> [GCC],7.4,<0> ,292,<0> ,
noczbwq,P,01/01/2022 15:30,1,1,,20.3,<0> ,43.46,<0> ,28.1,<0> ,88.5,<0> ,6.8,<0> ,0.18,<0> ,0.18,<3> [GCC],7.4,<0> ,153,<0> ,
noczbwq,P,01/01/2022 15:45,1,1,,20.1,<0> ,43.74,<0> ,28.3,<0> ,91.1,<0> ,7.0,<0> ,0.21,<0> ,0.21,<3> [GCC],7.5,<0> ,258,<0> ,
noczbwq,P,01/01/2022 16:00,1,1,,20.1,<0> ,43.77,<0> ,28.3,<0> ,90.8,<0> ,7.0,<0> ,0.24,<0> ,0.25,<3> [GCC],7.5,<0> ,98,<0> ,
noczbwq,P,01/01/2022 16:15,1,1,,20.1,<0> ,43.30,<0> ,28.0,<0> ,86.4,<0> ,6.7,<0> ,0.30,<0> ,0.31,<3> [GCC],7.4,<0> ,132,<0> ,
noczbwq,P,01/01/2022 16:30,1,1,,20.3,<0> ,43.01,<0> ,27.7,<0> ,85.4,<0> ,6.6,<0> ,0.36,<0> ,0.36,<3> [GCC],7.4,<0> ,140,<0> ,
noczbwq,P,01/01/2022 16:45,1,1,,20.1,<0> ,43.15,<0> ,27.8,<0> ,86.1,<0> ,6.6,<0> ,0.46,<0> ,0.46,<3> [GCC],7.4,<0> ,119,<0> ,
noczbwq,P,01/01/2022 17:00,1,1,,19.8,<0> ,43.48,<0> ,28.1,<0> ,87.6,<0> ,6.8,<0> ,0.57,<0> ,0.57,<3> [GCC],7.3,<0> ,62,<0> ,
noczbwq,P,01/01/2022 17:15,1,1,,19.3,<0> ,44.71,<0> ,29.0,<0> ,93.7,<0> ,7.3,<0> ,0.70,<0> ,0.70,<3> [GCC],7.6,<0> ,111,<0> ,
noczbwq,P,01/01/2022 17:30,1,1,,19.3,<0> ,44.40,<0> ,28.7,<0> ,92.1,<0> ,7.2,<0> ,0.84,<0> ,0.85,<3> [GCC],7.5,<0> ,83,<0> ,
noczbwq,P,01/01/2022 17:45,1,1,,19.7,<0> ,43.91,<0> ,28.4,<0> ,88.0,<0> ,6.8,<0> ,0.96,<0> ,0.97,<3> [GCC],7.5,<0> ,112,<0> ,
noczbwq,P,01/01/2022 18:00,1,1,,19.5,<0> ,44.15,<0> ,28.6,<0> ,89.0,<0> ,6.9,<0> ,1.06,<0> ,1.07,<3> [GCC],7.5,<0> ,81,<0> ,
noczbwq,P,01/01/2022 18:15,1,1,,19.5,<0> ,44.38,<0> ,28.7,<0> ,88.9,<0> ,6.9,<0> ,1.13,<0> ,1.14,<3> [GCC],7.5,<0> ,67,<0> ,
noczbwq,P,01/01/2022 18:30,1,1,,19.5,<0> ,44.20,<0> ,28.6,<0> ,87.8,<0> ,6.8,<0> ,1.19,<0> ,1.20,<3> [GCC],7.5,<0> ,73,<0> ,
noczbwq,P,01/01/2022 18:45,1,1,,19.2,<0> ,44.36,<0> ,28.7,<0> ,90.2,<0> ,7.0,<0> ,1.23,<0> ,1.24,<3> [GCC],7.5,<0> ,45,<0> ,
noczbwq,P,01/01/2022 19:00,1,1,,19.3,<0> ,44.30,<0> ,28.7,<0> ,89.2,<0> ,7.0,<0> ,1.26,<0> ,1.27,<3> [GCC],7.5,<0> ,47,<0> ,
noczbwq,P,01/01/2022 19:15,1,1,,19.3,<0> ,44.19,<0> ,28.6,<0> ,86.6,<0> ,6.7,<0> ,1.28,<0> ,1.29,<3> [GCC],7.5,<0> ,176,<0> ,
noczbwq,P,01/01/2022 19:30,1,1,,19.2,<0> ,44.16,<0> ,28.6,<0> ,87.4,<0> ,6.8,<0> ,1.28,<0> ,1.29,<3> [GCC],7.5,<0> ,406,<0> ,
noczbwq,P,01/01/2022 19:45,1,1,,19.2,<0> ,43.93,<0> ,28.4,<0> ,87.1,<0> ,6.8,<0> ,1.27,<0> ,1.28,<3> [GCC],7.5,<0> ,,<-3> [STS] (CSM),
noczbwq,P,01/01/2022 20:00,1,1,,19.2,<0> ,44.30,<0> ,28.7,<0> ,89.1,<0> ,6.9,<0> ,1.23,<0> ,1.24,<3> [GCC],7.5,<0> ,64,<0> ,
noczbwq,P,01/01/2022 20:15,1,1,,19.2,<0> ,44.33,<0> ,28.7,<0> ,89.5,<0> ,7.0,<0> ,1.18,<0> ,1.19,<3> [GCC],7.5,<0> ,60,<0> ,
noczbwq,P,01/01/2022 20:30,1,1,,19.3,<0> ,44.48,<0> ,28.8,<0> ,88.9,<0> ,6.9,<0> ,1.12,<0> ,1.13,<3> [GCC],7.5,<0> ,72,<0> ,
noczbwq,P,01/01/2022 20:45,1,1,,19.3,<0> ,44.32,<0> ,28.7,<0> ,84.8,<0> ,6.6,<0> ,1.05,<0> ,1.06,<3> [GCC],7.5,<0> ,80,<0> ,
noczbwq,P,01/01/2022 21:00,1,1,,19.4,<0> ,44.17,<0> ,28.6,<0> ,83.1,<0> ,6.5,<0> ,0.99,<0> ,1.00,<3> [GCC],7.5,<0> ,89,<0> ,
noczbwq,P,01/01/2022 21:15,1,1,,19.4,<0> ,44.11,<0> ,28.5,<0> ,83.2,<0> ,6.5,<0> ,0.93,<0> ,0.94,<3> [GCC],7.5,<0> ,72,<0> ,
noczbwq,P,01/01/2022 21:30,1,1,,19.4,<0> ,43.99,<0> ,28.4,<0> ,80.2,<0> ,6.2,<0> ,0.87,<0> ,0.88,<3> [GCC],7.4,<0> ,61,<0> ,
noczbwq,P,01/01/2022 21:45,1,1,,19.2,<0> ,43.95,<0> ,28.4,<0> ,75.5,<0> ,5.9,<0> ,0.81,<0> ,0.82,<3> [GCC],7.4,<0> ,42,<0> ,
noczbwq,P,01/01/2022 22:00,1,1,,19.1,<0> ,43.95,<0> ,28.4,<0> ,73.0,<0> ,5.7,<0> ,0.75,<0> ,0.76,<3> [GCC],7.3,<0> ,43,<0> ,
noczbwq,P,01/01/2022 22:15,1,1,,19.0,<0> ,43.93,<0> ,28.4,<0> ,72.2,<0> ,5.7,<0> ,0.70,<0> ,0.71,<3> [GCC],7.3,<0> ,96,<0> ,
noczbwq,P,01/01/2022 22:30,1,1,,18.8,<0> ,43.84,<0> ,28.3,<0> ,67.8,<0> ,5.3,<0> ,0.65,<0> ,0.67,<3> [GCC],7.2,<0> ,44,<0> ,
noczbwq,P,01/01/2022 22:45,1,1,,18.9,<0> ,43.80,<0> ,28.3,<0> ,70.0,<0> ,5.5,<0> ,0.59,<0> ,0.61,<3> [GCC],7.3,<0> ,111,<0> ,
noczbwq,P,01/01/2022 23:00,1,1,,18.9,<0> ,43.74,<0> ,28.3,<0> ,70.3,<0> ,5.5,<0> ,0.55,<0> ,0.57,<3> [GCC],7.3,<0> ,99,<0> ,
noczbwq,P,01/01/2022 23:15,1,1,,18.9,<0> ,43.77,<0> ,28.3,<0> ,73.7,<0> ,5.8,<0> ,0.51,<0> ,0.52,<3> [GCC],7.3,<0> ,266,<0> ,
noczbwq,P,01/01/2022 23:30,1,1,,18.9,<0> ,43.70,<0> ,28.2,<0> ,72.6,<0> ,5.7,<0> ,0.47,<0> ,0.48,<3> [GCC],7.3,<0> ,103,<0> ,
noczbwq,P,01/01/2022 23:45,1,1,,18.8,<0> ,43.56,<0> ,28.1,<0> ,71.0,<0> ,5.6,<0> ,0.43,<0> ,0.44,<3> [GCC],7.3,<0> ,164,<0> ,
noczbwq,P,01/02/2022 00:00,1,1,,18.8,<0> ,43.54,<0> ,28.1,<0> ,71.7,<0> ,5.7,<0> ,0.40,<0> ,0.41,<3> [GCC],7.3,<0> ,226,<0> ,
noczbwq,P,01/02/2022 00:15,1,1,,18.8,<0> ,43.54,<0> ,28.1,<0> ,72.7,<0> ,5.7,<0> ,0.37,<0> ,0.38,<3> [GCC],7.3,<0> ,339,<0> ,
noczbwq,P,01/02/2022 00:30,1,1,,18.7,<0> ,43.60,<0> ,28.2,<0> ,72.2,<0> ,5.7,<0> ,0.33,<0> ,0.35,<3> [GCC],7.3,<0> ,135,<0> ,
noczbwq,P,01/02/2022 00:45,1,1,,18.6,<0> ,43.42,<0> ,28.0,<0> ,70.9,<0> ,5.6,<0> ,0.30,<0> ,0.32,<3> [GCC],7.3,<0> ,129,<0> ,
noczbwq,P,01/02/2022 01:00,1,1,,18.7,<0> ,43.37,<0> ,28.0,<0> ,72.1,<0> ,5.7,<0> ,0.27,<0> ,0.29,<3> [GCC],7.3,<0> ,130,<0> ,
noczbwq,P,01/02/2022 01:15,1,1,,18.6,<0> ,43.31,<0> ,28.0,<0> ,72.4,<0> ,5.7,<0> ,0.25,<0> ,0.27,<3> [GCC],7.3,<0> ,130,<0> ,
noczbwq,P,01/02/2022 01:30,1,1,,18.6,<0> ,43.15,<0> ,27.8,<0> ,71.8,<0> ,5.7,<0> ,0.22,<0> ,0.24,<3> [GCC],7.3,<0> ,205,<0> ,
noczbwq,P,01/02/2022 01:45,1,1,,18.5,<0> ,43.03,<0> ,27.8,<0> ,72.1,<0> ,5.7,<0> ,0.19,<0> ,0.21,<3> [GCC],7.3,<0> ,135,<0> ,
noczbwq,P,01/02/2022 02:00,1,1,,18.5,<0> ,43.01,<0> ,27.7,<0> ,72.0,<0> ,5.7,<0> ,0.17,<0> ,0.19,<3> [GCC],7.3,<0> ,362,<0> ,
noczbwq,P,01/02/2022 02:15,1,1,,18.4,<0> ,43.58,<0> ,28.2,<0> ,76.9,<0> ,6.1,<0> ,0.15,<0> ,0.17,<3> [GCC],7.3,<0> ,138,<0> ,
noczbwq,P,01/02/2022 02:30,1,1,,18.3,<0> ,43.62,<0> ,28.2,<0> ,80.8,<0> ,6.4,<0> ,0.14,<0> ,0.16,<3> [GCC],7.4,<0> ,278,<0> ,
noczbwq,P,01/02/2022 02:45,1,1,,18.3,<0> ,43.55,<0> ,28.1,<0> ,83.6,<0> ,6.7,<0> ,0.12,<0> ,0.14,<3> [GCC],7.4,<0> ,212,<0> ,
noczbwq,P,01/02/2022 03:00,1,1,,18.3,<0> ,43.61,<0> ,28.2,<0> ,84.9,<0> ,6.8,<0> ,0.10,<0> ,0.12,<3> [GCC],7.4,<0> ,111,<0> ,
noczbwq,P,01/02/2022 03:15,1,1,,18.2,<0> ,43.64,<0> ,28.2,<0> ,86.1,<0> ,6.9,<0> ,0.10,<0> ,0.12,<3> [GCC],7.4,<0> ,132,<0> ,
noczbwq,P,01/02/2022 03:30,1,1,,18.2,<0> ,43.49,<0> ,28.1,<0> ,86.9,<0> ,6.9,<0> ,0.10,<0> ,0.12,<3> [GCC],7.5,<0> ,121,<0> ,
noczbwq,P,01/02/2022 03:45,1,1,,18.2,<0> ,43.39,<0> ,28.0,<0> ,87.1,<0> ,6.9,<0> ,0.13,<0> ,0.15,<3> [GCC],7.5,<0> ,132,<0> ,
noczbwq,P,01/02/2022 04:00,1,1,,18.2,<0> ,43.12,<0> ,27.8,<0> ,86.3,<0> ,6.9,<0> ,0.16,<0> ,0.18,<3> [GCC],7.5,<0> ,224,<0> ,
noczbwq,P,01/02/2022 04:15,1,1,,18.2,<0> ,43.46,<0> ,28.1,<0> ,86.7,<0> ,6.9,<0> ,0.21,<0> ,0.23,<3> [GCC],7.5,<0> ,217,<0> ,
noczbwq,P,01/02/2022 04:30,1,1,,18.1,<0> ,43.22,<0> ,27.9,<0> ,86.2,<0> ,6.9,<0> ,0.29,<0> ,0.31,<3> [GCC],7.5,<0> ,172,<0> ,
noczbwq,P,01/02/2022 04:45,1,1,,18.1,<0> ,43.27,<0> ,27.9,<0> ,86.4,<0> ,6.9,<0> ,0.39,<0> ,0.41,<3> [GCC],7.5,<0> ,122,<0> ,
noczbwq,P,01/02/2022 05:00,1,1,,18.1,<0> ,43.36,<0> ,28.0,<0> ,87.2,<0> ,7.0,<0> ,0.52,<0> ,0.54,<3> [GCC],7.5,<0> ,133,<0> ,
noczbwq,P,01/02/2022 05:15,1,1,,17.8,<0> ,44.25,<0> ,28.6,<0> ,88.7,<0> ,7.1,<0> ,0.69,<0> ,0.71,<3> [GCC],7.5,<0> ,108,<0> ,
noczbwq,P,01/02/2022 05:30,1,1,,18.1,<0> ,43.76,<0> ,28.3,<0> ,85.8,<0> ,6.8,<0> ,0.86,<0> ,0.88,<3> [GCC],7.5,<0> ,141,<0> ,
noczbwq,P,01/02/2022 05:45,1,1,,17.7,<0> ,45.06,<0> ,29.2,<0> ,89.6,<0> ,7.2,<0> ,1.03,<0> ,1.05,<3> [GCC],7.6,<0> ,89,<0> ,
noczbwq,P,01/02/2022 06:00,1,1,,17.9,<0> ,44.45,<0> ,28.8,<0> ,88.3,<0> ,7.1,<0> ,1.16,<0> ,1.18,<3> [GCC],7.5,<0> ,114,<0> ,
noczbwq,P,01/02/2022 06:15,1,1,,17.9,<0> ,44.69,<0> ,29.0,<0> ,89.5,<0> ,7.1,<0> ,1.27,<0> ,1.29,<3> [GCC],7.6,<0> ,84,<0> ,
noczbwq,P,01/02/2022 06:30,1,1,,17.9,<0> ,44.90,<0> ,29.1,<0> ,89.8,<0> ,7.2,<0> ,1.36,<0> ,1.38,<3> [GCC],7.6,<0> ,69,<0> ,
noczbwq,P,01/02/2022 06:45,1,1,,18.0,<0> ,45.07,<0> ,29.2,<0> ,88.7,<0> ,7.1,<0> ,1.44,<0> ,1.46,<3> [GCC],7.6,<0> ,79,<0> ,
noczbwq,P,01/02/2022 07:00,1,1,,17.8,<0> ,45.55,<0> ,29.6,<0> ,88.9,<0> ,7.1,<0> ,1.49,<0> ,1.51,<3> [GCC],7.6,<0> ,133,<0> ,
